"model","year","variable_rename","metric","value"
"REGEN-EPRI",2035,"Hydro","diff",29.7284588243782
"REGEN-EPRI",2035,"Hydrogen","value_ira",0.0104720330575042
"REGEN-EPRI",2035,"Hydrogen","diff",0.0104718411165269
"REGEN-EPRI",2035,"Nuclear","value_ira",761.35832253056
"REGEN-EPRI",2035,"Nuclear","diff",-21.3302544167576
"REGEN-EPRI",2035,"Solar","value_ira",896.196129069519
"REGEN-EPRI",2035,"Solar","diff",317.749517180495
"REGEN-EPRI",2035,"Wind","value_ira",1367.98572286744
"REGEN-EPRI",2035,"Wind","diff",723.996662146369
"RIO-REPEAT",2030,"Biomass w/o CCS","value_ira",39.999277461024
"RIO-REPEAT",2030,"Biomass w/o CCS","diff",-0.999981936525607
"RIO-REPEAT",2030,"Coal w/o CCS","value_ira",479.991329532288
"RIO-REPEAT",2030,"Coal w/o CCS","diff",-173.996856955454
"RIO-REPEAT",2030,"Gas w/ CCS","value_ira",4.999909682628
"RIO-REPEAT",2030,"Gas w/ CCS","diff",0.9999819365256
"RIO-REPEAT",2030,"Gas w/o CCS","value_ira",806.985422776159
"RIO-REPEAT",2030,"Gas w/o CCS","diff",-164.997019526724
"RIO-REPEAT",2030,"Hydro","value_ira",295.994653211578
"RIO-REPEAT",2030,"Hydro","diff",-7.99985549220474
"RIO-REPEAT",2030,"Nuclear","value_ira",793.985657601326
"RIO-REPEAT",2030,"Nuclear","diff",-0.999981936525614
"RIO-REPEAT",2030,"Solar","value_ira",947.982875826269
"RIO-REPEAT",2030,"Solar","diff",200.996369241646
"RIO-REPEAT",2030,"Wind","value_ira",1736.96862374497
"RIO-REPEAT",2030,"Wind","diff",641.988403249435
"RIO-REPEAT",2035,"Biomass w/o CCS","value_ira",30.9994400322936
"RIO-REPEAT",2035,"Biomass w/o CCS","diff",-8.9998374287304
"RIO-REPEAT",2035,"Coal w/o CCS","value_ira",234.995755083516
"RIO-REPEAT",2035,"Coal w/o CCS","diff",-257.995339623605
"RIO-REPEAT",2035,"Gas w/ CCS","value_ira",1.9999638730512
"RIO-REPEAT",2035,"Gas w/ CCS","diff",-0.999981936525601
"RIO-REPEAT",2035,"Gas w/o CCS","value_ira",442.991997880841
"RIO-REPEAT",2035,"Gas w/o CCS","diff",-394.992864927612
"RIO-REPEAT",2035,"Hydro","value_ira",272.995068671489
"RIO-REPEAT",2035,"Hydro","diff",-25.9995303496656
"RIO-REPEAT",2035,"Nuclear","value_ira",787.985765982173
"RIO-REPEAT",2035,"Nuclear","diff",-0.999981936525387
"RIO-REPEAT",2035,"Solar","value_ira",2122.96165124385
"RIO-REPEAT",2035,"Solar","diff",837.984862808453
"RIO-REPEAT",2035,"Wind","value_ira",2374.9570992483
"RIO-REPEAT",2035,"Wind","diff",980.982279731614
"ReEDS-NREL",2030,"Biomass w/o CCS","value_ira",16.1483482994548
"ReEDS-NREL",2030,"Biomass w/o CCS","diff",-1.3903421073595
"ReEDS-NREL",2030,"Coal w/ CCS","value_ira",269.384440837595
"ReEDS-NREL",2030,"Coal w/ CCS","diff",269.384440837595
"ReEDS-NREL",2030,"Coal w/o CCS","value_ira",72.0564686640891
"ReEDS-NREL",2030,"Coal w/o CCS","diff",-624.356955073734
"ReEDS-NREL",2030,"Gas w/o CCS","value_ira",731.778380190076
"ReEDS-NREL",2030,"Gas w/o CCS","diff",-571.381096463531
"ReEDS-NREL",2030,"Hydro","value_ira",302.8022319075
"ReEDS-NREL",2030,"Hydro","diff",0.482479062372192
"ReEDS-NREL",2030,"Nuclear","value_ira",738.383911980178
"ReEDS-NREL",2030,"Nuclear","diff",-24.09862302061
"ReEDS-NREL",2030,"Solar","value_ira",996.236368629236
"ReEDS-NREL",2030,"Solar","diff",491.849341442635
"ReEDS-NREL",2030,"Wind","value_ira",1273.87607978972
"ReEDS-NREL",2030,"Wind","diff",587.7547201381
"ReEDS-NREL",2035,"Biomass w/o CCS","value_ira",15.4742957531834
"ReEDS-NREL",2035,"Biomass w/o CCS","diff",-0.92861794785269
"ReEDS-NREL",2035,"Coal w/ CCS","value_ira",290.122006516119
"ReEDS-NREL",2035,"Coal w/ CCS","diff",290.122006516119
"ReEDS-NREL",2035,"Coal w/o CCS","value_ira",62.4417795641389
"ReEDS-NREL",2035,"Coal w/o CCS","diff",-575.416453569644
"ReEDS-NREL",2035,"Gas w/o CCS","value_ira",517.103265816334
"ReEDS-NREL",2035,"Gas w/o CCS","diff",-778.495905460677
"ReEDS-NREL",2035,"Hydro","value_ira",302.033290797498
"ReEDS-NREL",2035,"Hydro","diff",-1.61430722836485
"ReEDS-NREL",2035,"Nuclear","value_ira",722.816672628131
"ReEDS-NREL",2035,"Nuclear","diff",-39.6658623726565
"ReEDS-NREL",2035,"Solar","value_ira",1275.43535801212
"ReEDS-NREL",2035,"Solar","diff",686.199163523962
"ReEDS-NREL",2035,"Wind","value_ira",1574.74714685917
"ReEDS-NREL",2035,"Wind","diff",743.450635733667
"USREP-ReEDS",2030,"Biomass w/ CCS","value_ira",0
"USREP-ReEDS",2030,"Biomass w/ CCS","diff",0
"USREP-ReEDS",2030,"Biomass w/o CCS","value_ira",18.9028774310784
"USREP-ReEDS",2030,"Biomass w/o CCS","diff",-5.56822413893115
"USREP-ReEDS",2030,"Coal w/ CCS","value_ira",1.02220375733728e-08
"USREP-ReEDS",2030,"Coal w/ CCS","diff",7.49986452394198e-10
"USREP-ReEDS",2030,"Coal w/o CCS","value_ira",267.69816713144
"USREP-ReEDS",2030,"Coal w/o CCS","diff",-332.293310575421
"USREP-ReEDS",2030,"Gas w/ CCS","value_ira",2.8888367055184e-08
"USREP-ReEDS",2030,"Gas w/ CCS","diff",8.38873735640920e-09
"USREP-ReEDS",2030,"Gas w/o CCS","value_ira",860.550431299632
"USREP-ReEDS",2030,"Gas w/o CCS","diff",-495.942742778027
"USREP-ReEDS",2030,"Geothermal","value_ira",3.27743551928021
"USREP-ReEDS",2030,"Geothermal","diff",-1.82937778781758
"USREP-ReEDS",2030,"Hydro","value_ira",302.287975641367
"USREP-ReEDS",2030,"Hydro","diff",1.61072062648589
"USREP-ReEDS",2030,"Nuclear","value_ira",746.513114580326
"USREP-ReEDS",2030,"Nuclear","diff",-15.9694204204611
"USREP-ReEDS",2030,"Solar","value_ira",726.869658304694
"USREP-ReEDS",2030,"Solar","diff",190.17996934916
"USREP-ReEDS",2030,"Wind","value_ira",1360.75489126152
"USREP-ReEDS",2030,"Wind","diff",696.176749957496
"USREP-ReEDS",2035,"Biomass w/ CCS","value_ira",0
"USREP-ReEDS",2035,"Biomass w/ CCS","diff",0
"USREP-ReEDS",2035,"Biomass w/o CCS","value_ira",18.2383411017969
"USREP-ReEDS",2035,"Biomass w/o CCS","diff",-5.28790309148357
"USREP-ReEDS",2035,"Coal w/ CCS","value_ira",2.8332821534892e-08
"USREP-ReEDS",2035,"Coal w/ CCS","diff",6.6387689674894e-09
"USREP-ReEDS",2035,"Coal w/o CCS","value_ira",190.233555881183
"USREP-ReEDS",2035,"Coal w/o CCS","diff",-288.056308552698
"USREP-ReEDS",2035,"Gas w/ CCS","value_ira",6.9165417276354e-08
"USREP-ReEDS",2035,"Gas w/ CCS","diff",8.888728324672e-09
"USREP-ReEDS",2035,"Gas w/o CCS","value_ira",736.564637343192
"USREP-ReEDS",2035,"Gas w/o CCS","diff",-744.916296480486
"USREP-ReEDS",2035,"Geothermal","value_ira",3.27743551928021
"USREP-ReEDS",2035,"Geothermal","diff",-1.82937806559034
"USREP-ReEDS",2035,"Hydro","value_ira",302.851426018867
"USREP-ReEDS",2035,"Hydro","diff",1.41299169822179
"USREP-ReEDS",2035,"Nuclear","value_ira",721.659549085736
"USREP-ReEDS",2035,"Nuclear","diff",-40.8229859150518
"USREP-ReEDS",2035,"Solar","value_ira",824.56630686524
"USREP-ReEDS",2035,"Solar","diff",232.097672989449
"USREP-ReEDS",2035,"Wind","value_ira",1635.37808802282
"USREP-ReEDS",2035,"Wind","diff",884.405479831234
